x,y,z,yaw,velocity,change_flag
-15159.3555,-84957.7422,34.4144,-2.2725,28.0076,0
-15160.3496,-84958.8984,34.3883,-2.2721,25.8328,0
-15161.4082,-84960.1250,34.3382,-2.2722,31.3207,0
-15162.3408,-84961.2109,34.2950,-2.2722,28.1748,0
-15163.3516,-84962.4062,34.2740,-2.2726,28.4753,0
-15164.3672,-84963.5781,34.2262,-2.2726,27.4501,0
-15165.3789,-84964.7578,34.1870,-2.2721,28.0947,0
-15166.3398,-84965.8984,34.1632,-2.2720,26.9825,0
-15167.3516,-84967.0938,34.1265,-2.2719,24.8971,0
-15168.3691,-84968.2734,34.0884,-2.2714,27.0881,0
-15169.4385,-84969.4922,34.0287,-2.2714,29.9636,0
-15170.3555,-84970.5781,34.0020,-2.2712,23.7564,0
-15171.3506,-84971.7500,33.9530,-2.2717,25.3283,0
-15172.4043,-84972.9766,33.9025,-2.2726,25.0317,0
-15173.4648,-84974.1953,33.8647,-2.2750,32.2557,0
-15174.3691,-84975.2500,33.8343,-2.2771,25.2433,0
-15175.3916,-84976.4297,33.7923,-2.2790,28.4872,0
-15176.4072,-84977.6094,33.7527,-2.2808,28.6472,0
-15177.4023,-84978.7422,33.7224,-2.2828,27.8613,0
-15178.4180,-84979.9141,33.6673,-2.2849,27.4284,0
-15179.3916,-84981.0156,33.6223,-2.2868,26.3323,0
-15180.4160,-84982.1641,33.5685,-2.2881,28.7130,0
-15181.4648,-84983.3516,33.5223,-2.2896,27.0859,0
-15182.4336,-84984.4453,33.4619,-2.2914,26.0693,0
-15183.4795,-84985.6328,33.4093,-2.2929,27.0197,0
-15184.4766,-84986.7422,33.3609,-2.2947,29.9901,0
-15185.5117,-84987.8906,33.2998,-2.2970,32.7394,0
-15186.5352,-84989.0312,33.2290,-2.2999,29.0238,0
-15187.5645,-84990.1719,33.1624,-2.3034,27.3176,0
-15188.5986,-84991.2891,33.1021,-2.3059,27.2299,0
-15189.6045,-84992.3906,33.0366,-2.3083,26.8007,0
-15190.6553,-84993.5625,32.9660,-2.3092,29.3879,0
-15191.7070,-84994.6953,32.9034,-2.3100,27.8926,0
-15192.7227,-84995.7969,32.8275,-2.3107,27.0508,0
-15193.7715,-84996.9375,32.7549,-2.3110,28.2290,0
-15194.8564,-84998.1250,32.6749,-2.3113,29.7157,0
-15195.9531,-84999.3047,32.5918,-2.3120,32.2860,0
-15196.9688,-85000.3828,32.5357,-2.3124,26.6494,0
-15198.0273,-85001.5312,32.4526,-2.3128,25.6307,0
-15199.0977,-85002.6953,32.3725,-2.3134,25.2768,0
-15200.2373,-85003.9219,32.2954,-2.3139,30.7398,0
-15201.3164,-85005.0859,32.2282,-2.3135,29.9352,0
-15202.3955,-85006.2500,32.1541,-2.3106,29.1299,0
-15203.4854,-85007.4375,32.0648,-2.3086,28.3197,0
-15204.5684,-85008.6328,31.9794,-2.3062,29.3406,0
-15205.6758,-85009.8359,31.9003,-2.3041,29.9347,0
-15206.7568,-85011.0156,31.8229,-2.3019,29.6049,0
-15207.8232,-85012.1953,31.7491,-2.2986,28.7090,0
-15208.9219,-85013.4141,31.6576,-2.2926,28.4287,0
-15210.0264,-85014.6406,31.5576,-2.2874,28.5952,0
-15211.1113,-85015.8750,31.4887,-2.2838,29.5595,0
-15212.2246,-85017.1484,31.3834,-2.2803,32.2569,0
-15213.2783,-85018.3594,31.2821,-2.2758,29.7515,0
-15214.3457,-85019.6094,31.1994,-2.2745,29.5250,0
-15215.4307,-85020.8750,31.1266,-2.2748,30.2895,0
-15216.5039,-85022.1328,31.0459,-2.2755,28.9290,0
-15217.5967,-85023.3984,30.9611,-2.2751,28.3990,0
